Word,Points
copy,4
review,3
along,1
copy,4
President,2
Award,4
received,5
Afterburner,1
Project,3
Would,5
like,5
see,2
received,5
personal,-1
feedback,1
several,7
professors,1
refer,1
one,8
dedicated,1
students,2
worked,5
along,1
recommending,1
Outstanding,1
Student,1
Accounting,3
Award,4
award,8
Senior,1
year,2
recommended,1
Department,1
Chair,1
letter,1
recommendation,1
along,1
copy,4
award,8
would,-1
like,5
see,2
Wow,-4
well,-4
let,-2
born,-2
Chicago,-1
Illinois,0
second,-4
boy,-6
family,-4
four,-1
boys,-2
We,-1
got,-8
along,-1
OK,-2
except,-2
older,-4
brother,-2
especially,-2
got,-8
older,-4
joined,0
gang,-2
My,-10
parents,-2
Catholic,-2
pretty,-18
strict,-2
upbringing,-2
made,-2
first,-1
communion,-2
second,-4
grade,-3
confirmed,-2
seventh,-2
grade,-3
even,-4
altar,-2
boy,-6
believe,-2
pretty,-18
rough,-2
childhood,-2
spent,-1
time,0
reform,-2
Well,-20
really,-29
need,-9
job,-9
would,-14
awesome,-4
work,-8
unemployed,-2
Mom,-2
starting,-2
get,-38
case,2
And,-10
really,-29
like,3
living,-8
basement,-2
anymore,-2
want,-7
get,-38
independent,-1
So,-20
hire,-2
would,-14
able,-3
get,-38
house,-2
Life,-2
would,-14
good,-10
My,-10
long,-3
term,-4
goal,-8
job,-9
Actually,-2
goal,-8
My,-10
long,-3
term,-4
goal,-8
become,1
CEO,-1
So,-20
want,-7
put,-2
path,-2
continue,-2
make,-11
course,-2
corrections,-1
along,-1
way,-16
finally,-2
achieve,-1
goal,-8
So,-20
pretty,-18
ambitious,-2
want,-7
guess,-10
real,-7
question,-5
whether,-2
provide,-2
roadmap,-2
getting,-2
corner,-2
office,-2
accomplishment,-4
sure,-6
greatest,-6
accomplishment,-4
Most,-4
projects,-1
working,-11
canceled,-4
fault,-2
We,-1
usually,-3
get,-38
ready,-1
deliver,4
something,-5
project,30
funding,-2
gets,-2
pulled,-1
never,-3
able,-3
actually,-6
deliver,4
So,-20
scramble,-2
get,-38
moved,-4
another,-3
project,30
get,-38
targeted,-1
layoffs,-4
Some,-1
people,-8
company,-6
good,-10
ended,-1
laid,-4
But,-5
survivor,-2
able,-3
avoid,-2
layoff,-4
ax,-2
years,-2
So,-20
probably,-8
greatest,-6
accomplishment,-4
laid,-4
spite,-2
projects,-1
canceled,-4
pretty,-18
good,-10
laying,-2
low,-6
staying,-1
spotlight,-2
Well,-20
learned,-6
hold,-4
beer,-2
sure,-6
When,-2
arrived,-2
campus,-2
Freshman,-2
real,-7
lightweight,-2
But,-5
time,0
learned,-6
drink,-4
best,-5
know,-7
important,2
able,-3
hold,-4
liquor,-2
work,-8
setting,-2
say,-3
something,-5
stupid,-2
drinking,-2
Most,-4
classes,-3
really,-29
tied,-1
work,-8
ones,-2
tied,-1
career,-6
plain,-2
boring,-2
So,-20
working,-11
get,-38
degree,-5
get,-38
start,-2
real,-7
work,-8
The,3
partying,-2
fun,-4
time,0
get,-38
life,-12
You,-8
bet,-2
That,-3
right,-8
team,6
If,-8
right,-8
team,6
happened,-2
work,-8
get,-38
moved,-4
different,-7
team,6
Just,-4
like,3
LeBron,-2
James,-2
make,-11
move,-7
Miami,-2
move,-7
around,-6
teams,0
get,-38
right,-8
one,1
Although,-3
guess,-10
would,-14
move,-7
back,-2
Cleveland,-2
get,-38
idea,-2
If,-8
someone,-4
get,-38
ball,-2
hot,-4
hey,-2
smoking,-2
hot,-4
Surround,-2
superstars,-2
superstar,-2
So,-20
looking,-4
get,-38
team,6
join,-2
another,-3
team,6
best,-5
My,-10
current,3
team,6
good,-10
kinda,-2
suck,-2
work,-8
want,-7
move,-7
team,6
everyone,-4
plays,-2
best,-5
win,-2
championship,-2
always,-3
found,-2
need,-9
show,-4
person,0
detail,-2
error,-2
ways,-2
eventually,-4
come,-3
around,-6
seeing,-2
way,-16
best,-5
way,-16
things,-4
Do,-2
conflict,-6
Sure,-2
But,-5
conflict,-6
healthy,-2
thing,-6
actually,-6
welcome,-2
conflict,-6
In,1
fact,-4
grew,-2
family,-4
conflict,-6
way,-16
life,-12
got,-8
battered,-2
bruised,-2
growing,-2
way,-16
learned,-6
come,-3
swinging,-2
make,-11
way,-16
world,2
Well,-20
think,-3
pretty,-18
much,-5
awesome,-4
every,-2
area,0
think,-3
You,-8
name,-4
covered,-2
In,1
fact,-4
really,-29
weaknesses,-2
pretty,-18
much,-5
everything,-3
strength,0
So,-20
going,-6
ask,-4
question,-5
greatest,-6
weakness,-5
really,-29
That,-3
really,-29
bugs,-2
people,-8
ask,-4
question,-5
assumes,-2
weakness,-5
sort,-2
If,-8
look,-4
dictionary,-2
name,-4
My,-10
greatest,-6
weakness,-5
workaholic,-4
balance,-2
life,-12
tend,-2
stay,-2
late,-4
work,-8
complete,-1
projects,-1
often,-2
morning,-4
usually,-3
first,-1
one,1
last,0
one,1
leave,-2
know,-7
probably,-8
address,-2
workaholic,-4
tendencies,-2
know,-7
help,-1
get,-38
everything,-3
completed,4
So,-20
keep,-10
working,-11
even,-4
work,-8
As,0
result,3
personal,-3
life,-12
suffered,-2
recently,1
divorced,-2
kids,-2
say,-3
never,-3
get,-38
see,-1
true,-2
My,-10
life,-12
train,-1
wreck,-2
due,1
working,-11
crazy,-2
hours,-4
keep,-10
working,-11
working,-11
Well,-20
quite,0
sure,-6
since,-3
really,-29
much,-5
relationship,-2
professors,0
doubt,-2
actually,-6
knew,-2
You,-8
see,-1
went,-1
public,-1
university,-2
classes,-3
big,-4
lecture,-2
halls,-2
So,-20
really,-29
difficult,0
get,-38
know,-7
professor,-2
personal,-3
level,0
met,2
TA,-2
went,-1
help,-1
tutoring,-2
would,-14
probably,-8
say,-3
little,-2
bit,-2
slow,-2
learn,-2
material,-1
eventually,-4
got,-8
Well,-20
always,-3
wanted,-3
movie,-2
star,-2
All,-2
way,-16
high,-2
school,-2
college,-2
everyone,-4
kept,1
telling,-2
go,-4
Hollywood,-2
would,-14
make,-11
big,-4
still,1
keep,-10
going,-6
auditions,-2
hoping,-2
someday,-2
number,-2
called,-2
But,-5
meantime,-2
need,-9
make,-11
living,-8
And,-10
job,-9
better,-1
waiting,-2
tables,-2
right,-8
Wow,-4
well,-4
pretty,-18
sure,-6
would,-14
field,-6
work,-8
pay,-2
bills,-2
My,-10
ideal,-4
job,-9
would,-14
one,1
would,-14
work,-8
hard,0
get,-38
paid,-4
lot,-2
money,-14
Where,-2
could,-3
set,-2
hours,-4
could,-3
thing,-6
wanted,-3
think,-3
people,-8
working,-11
stiffs,-2
My,-10
father,-2
worked,4
years,-2
company,-6
retired,-2
died,-2
year,0
later,-1
That,-3
want,-7
life,-12
would,-14
love,-3
travel,-2
living,-8
yeah,-2
guess,-10
would,-14
ideal,-4
job,-9
Well,-20
took,0
class,3
professor,-2
really,-29
liked,-2
made,-2
class,3
fun,-4
thought,-2
might,-3
really,-29
interesting,-3
way,-16
make,-11
living,-8
really,-29
connect,-2
dots,-2
major,0
potential,-2
career,-6
late,-4
Senior,0
year,0
Although,-3
love,-3
Chemistry,-2
really,-29
interested,-2
working,-11
company,-6
chemical,-2
field,-6
So,-20
look,-4
around,-6
see,-1
else,-2
could,-3
degree,-5
guess,-10
really,-29
fell,-2
career,-6
field,-6
thing,-6
available,-1
time,0
someone,-4
degree,-5
really,-29
plan,-2
way,-16
Well,-20
guess,-10
since,-3
saw,-2
job,-9
posting,-4
It,0
really,-29
interesting,-3
job,-9
posting,-4
write,-2
Well,-20
anyway,-2
started,-2
looking,-4
career,-6
options,-2
field,-6
decided,-2
something,-5
would,-14
really,-29
enjoy,-2
And,-10
read,-2
successful,-4
make,-11
six,-2
figures,-2
one,1
Whoo,-2
boy,-6
good,-10
question,-5
Well,-20
frankly,-2
try,-1
get,-38
day,-3
one,1
day,-3
time,0
And,-10
today,-2
goal,-8
get,-38
interviews,-2
one,1
piece,-2
probably,-8
going,-6
go,-4
friends,-2
afterward,-2
celebration,-2
drink,-4
And,-10
get,-38
job,-9
offer,-4
watch,-2
gon,-2
na,-2
know,-7
need,-9
additional,0
training,-4
become,1
effective,-2
time,0
right,-8
What,-1
offer,-4
terms,-1
training,-4
pretty,-18
money,-14
motivated,-2
money,-14
measuring,-2
stick,-2
know,-7
successful,-4
based,1
much,-5
money,-14
earning,-2
If,-8
well,-4
would,-14
expect,-2
paid,-4
money,-14
At,-1
end,3
day,-3
real,-7
measure,-2
crosses,-2
professions,-2
money,-14
So,-20
show,-4
money,-14
show,-4
motivation,-2
Success,-2
subjective,-2
term,-4
It,0
means,-2
different,-7
things,-4
different,-7
people,-8
How,-4
might,-3
define,-4
success,-6
may,-2
different,-7
define,-4
success,-6
Just,-4
waking,-2
morning,-4
success,-6
How,-4
Well,-20
layoffs,-4
happen,-2
industry,0
pretty,-18
important,2
keep,-10
head,-4
low,-6
making,0
layoff,-4
list,-2
You,-8
need,-9
outlast,-2
everyone,-4
else,-2
last,0
person,0
standing,-2
And,-10
managed,-2
successfully,-1
keep,-10
head,-4
low,-6
entire,-1
career,-6
'',-6
